 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATS","491","Doctoral Dissertation Research","90738","A","TD","M","20","4","TBA","","       ","","","Headrick, Randall L.","1 to 18"
"ME","012","Dynamics","91243","A","LEC","M","20","17","08:30","09:20","M  W  F   ","PERKIN","101","Coleman, Michael Jon","3"
"ME","040","Thermodynamics","91244","A","LEC","M","47","47","10:40","11:30","M  W  F   ","KALKIN","002","Marshall, Jeffrey Scott","3"
"ME","040","Thermodynamics","91245","B","LEC","M","47","45","11:45","12:35","M  W  F   ","KALKIN","002","Louisos, William ","3"
"ME","040","Thermodynamics","92145","C","LEC","M","40","32","09:35","10:25","M  W  F   ","PERKIN","101","Louisos, William ","3"
"ME","040","Thermodynamics","94944","ZRA","LEC","C","3","3","10:40","11:30","M  W  F   ","KALKIN","002","Marshall, Jeffrey Scott","3"
"ME","040","Thermodynamics","94945","ZRB","LEC","C","3","3","11:45","12:35","M  W  F   ","KALKIN","002","Louisos, William ","3"
"ME","095","Mech Engr Shop Experience","94971","A","LEC","M","107","117","TBA","","       ","ONCMP","SEE NOTES","Fletcher, Douglas G.","1"
"ME","095","Mech Engr Shop Experience","94703","A01","LAB","M","13","14","08:00","09:15","M       ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94707","B01","LAB","M","14","15","08:30","09:45"," T      ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94705","C01","LAB","M","14","15","08:00","09:15","  W     ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94709","D01","LAB","M","14","15","08:30","09:45","   R    ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94704","E01","LAB","M","13","14","08:00","09:15","M       ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94708","F01","LAB","M","13","15","08:30","09:45"," T      ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94706","G01","LAB","M","13","15","08:00","09:15","  W     ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","095","Mech Engr Shop Experience","94710","H01","LAB","M","13","14","08:30","09:45","   R    ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","111","System Dynamics","91250","A","LEC","M","35","34","10:40","11:30","M  W  F   ","PERKIN","300","Novotny, John Emil","3"
"ME","111","System Dynamics","91899","B","LEC","M","35","30","10:40","11:30","M  W  F   ","VOTEY","209","Dunlop, Mary Julia","3"
"ME","111","System Dynamics","94947","ZRB","LEC","C","1","1","10:40","11:30","M  W  F   ","VOTEY","209","Dunlop, Mary Julia","3"
"ME","123","Mechanical Engineering Lab II","91251","A","LEC","M","65","61","08:30","09:20","    F   ","STAFFO","101","Fletcher, Douglas G.","2"
"ME","123","Mechanical Engineering Lab II","91253","A01","LAB","M","16","17","13:55","16:55","M       ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","123","Mechanical Engineering Lab II","91256","A02","LAB","M","16","11","16:00","19:00"," T      ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","123","Mechanical Engineering Lab II","91258","A03","LAB","M","16","18","13:55","16:55","  W     ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","123","Mechanical Engineering Lab II","91260","A04","LAB","M","16","15","16:00","19:00","   R    ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","123","Mechanical Engineering Lab II","91490","A05","LAB","M","16","0","13:55","16:55","    F   ","VOTEY","122","Fletcher, Douglas G.","0"
"ME","143","Fluid Mechanics","91262","A","LEC","M","35","31","08:30","09:45"," T  R    ","VOTEY","105","Louisos, William ","3"
"ME","143","Fluid Mechanics","92591","B","LEC","M","35","29","14:30","15:45"," T  R    ","VOTEY","209","Dubief, Yves ","3"
